Latitude,Longitude,10 Mi Quakes,25 Mi Quakes,50 Mi Quakes,Max Mag 10 Mi,Max Mag 25 Mi,Max Mag 50 Mi,Time D 10Mi,Time D 25Mi,Time D 50Mi,T 10Mi,T 25Mi,T 50Mi
33.161666700000005,-115.6115,11,13,23,3.82,3.82,3.82,9830.0,9830.0,9830.0,2.79,2.79,2.8
32.696,-115.79883329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
32.9211667,-116.26116670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.006666700000004,-120.5775,0,1,7,0.0,2.56,2.97,-1.0,567868.0,727484.0,0.0,0.0,2.64
36.589833299999995,-121.18983329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.9721667,-117.32883329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.6
38.1669,-117.9892,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.796833299999996,-121.527,1,6,11,3.28,3.37,3.37,236003.0,1340441.0,1340441.0,2.75,2.75,3.31
35.725333299999996,-121.63283329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.5
38.1718,-118.0778,12,18,22,4.4,4.4,4.4,25367.0,25367.0,25367.0,3.7,4.3,4.3
38.1275,-117.9813,7,12,13,3.2,3.2,3.2,1085558.0,1085558.0,1085558.0,2.7,2.7,2.7
36.1575,-118.071,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.05
36.7646667,-120.70100000000001,0,2,12,0.0,3.22,3.37,-1.0,1199469.0,1732892.0,0.0,0.0,3.31
40.3048333,-124.6073333,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.8256667,-122.8135,4,7,12,3.13,3.26,3.98,1054675.0,114608.0,1578136.0,3.98,3.98,3.98
33.1581667,-115.63316670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.8456667,-122.235,1,1,3,2.55,2.55,2.93,156844.0,156844.0,1538903.0,2.76,2.76,2.76
38.8276667,-122.80466670000001,7,10,13,3.13,3.26,3.98,1674965.0,734898.0,2198426.0,3.98,3.98,3.98
36.006666700000004,-120.5775,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.569,-118.824,0,0,10,0.0,0.0,3.98,-1.0,-1.0,1723479.0,0.0,0.0,3.98
40.404,-124.6193333,6,6,10,4.36,4.36,4.69,1023498.0,1023498.0,1255710.0,3.54,3.54,3.54
38.805,-122.7785,0,0,9,0.0,0.0,3.82,-1.0,-1.0,2076687.0,0.0,0.0,2.66
38.1511,-118.0094,14,17,24,3.7,3.7,3.7,2118803.0,2118803.0,2118803.0,4.4,4.4,4.4
34.0441667,-117.25166670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.1558333,-116.33516670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.1475,-116.44516670000002,0,0,1,0.0,0.0,2.9,-1.0,-1.0,329624.0,0.0,0.0,0.0
38.1937,-117.7303,7,9,11,4.3,4.3,4.3,2669217.0,2669217.0,2669217.0,2.6,2.7,2.7
35.6845,-117.47766670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.6
36.796833299999996,-121.527,1,3,3,2.5,3.05,3.05,1871609.0,1153683.0,1153683.0,0.0,3.29,3.29
38.4801667,-122.53299999999999,1,2,4,2.63,2.63,3.22,2544048.0,2544048.0,2128075.0,0.0,0.0,3.09
35.6716667,-117.54266670000001,7,8,15,2.8,3.27,4.02,2105681.0,932118.0,1035356.0,3.2,3.41,3.41
35.093,-116.9625,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.6
36.3017,-114.2838,0,0,2,0.0,0.0,3.0,-1.0,-1.0,842023.0,0.0,0.0,3.82
40.2529,-119.5306,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.095,-118.89416670000001,0,3,21,0.0,3.1,3.8,-1.0,558136.0,1703335.0,3.24,3.24,3.24
34.041166700000005,-117.6045,0,3,19,0.0,3.0,3.7,-1.0,2357233.0,1909328.0,0.0,0.0,4.4
39.5256667,-123.0365,0,0,9,0.0,0.0,3.98,-1.0,-1.0,2576247.0,3.91,3.91,3.91
40.472333299999995,-122.04066670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.2
33.177833299999996,-115.6095,5,5,5,3.95,3.95,3.95,483364.0,483364.0,483364.0,3.34,3.34,3.34
37.569,-118.824,2,2,4,2.77,2.77,3.08,2061033.0,2061033.0,1957964.0,3.09,3.09,3.09
40.8639,-125.4096,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.6786667,-117.53683329999998,6,6,7,3.64,3.64,3.64,706978.0,706978.0,706978.0,3.06,3.06,3.06
33.171,-115.649,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.1876667,-118.09383329999999,0,3,7,0.0,3.29,3.29,-1.0,1262344.0,1262344.0,4.02,4.02,4.02
38.1703,-118.0717,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.6306667,-121.65633329999999,0,0,2,0.0,0.0,2.75,-1.0,-1.0,877285.0,2.51,3.0,3.0
38.1573,-117.8857,16,19,23,3.7,3.7,3.7,2457816.0,2457816.0,2457816.0,4.3,4.4,4.4
36.6642,-116.2682,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.655,-116.2676,0,0,1,0.0,0.0,3.1,-1.0,-1.0,1929957.0,0.0,0.0,0.0
36.7376667,-120.7475,0,0,1,0.0,0.0,3.02,-1.0,-1.0,2131369.0,0.0,0.0,0.0
40.6106667,-121.6735,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.79,2.79,2.79
33.9661667,-116.978,0,0,1,0.0,0.0,2.53,-1.0,-1.0,2328266.0,0.0,0.0,0.0
40.3685,-125.18133329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.8276667,-122.80466670000001,7,10,13,3.13,3.26,3.98,1674965.0,734898.0,2198426.0,3.98,3.98,3.98
37.5028333,-118.8675,3,3,17,2.72,2.72,3.9,2027825.0,2027825.0,782176.0,2.63,2.63,2.63
36.1575,-118.071,3,3,10,4.03,4.03,4.03,696166.0,696166.0,696166.0,3.47,3.47,3.49
38.8178333,-122.82066670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.3261667,-116.9235,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.7703333,-118.0176667,0,1,17,0.0,2.66,4.03,-1.0,469540.0,1776289.0,2.86,3.26,3.26
36.4965,-121.07600000000001,1,2,4,2.98,2.98,3.76,1190864.0,1190864.0,382604.0,2.52,2.52,3.73
36.5748333,-121.17316670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.1669,-117.9892,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.4748333,-118.84266670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.918,-118.55583329999999,1,3,26,2.5,3.24,3.7,1393481.0,1044234.0,1177276.0,3.08,3.08,3.1
35.6845,-117.47766670000001,2,9,15,3.2,3.6,4.03,2526742.0,1067692.0,1239613.0,3.1,3.26,3.26
38.0707,-118.2634,1,22,24,2.8,4.4,4.4,2006759.0,1378864.0,1378864.0,2.5,3.2,3.2
38.1483,-117.9666,0,1,4,0.0,2.76,2.77,-1.0,2562743.0,751389.0,0.0,0.0,0.0
39.0385,-123.07733329999999,0,0,6,0.0,0.0,2.99,-1.0,-1.0,1894762.0,0.0,0.0,4.36
36.7290001,-120.9735031,0,2,5,0.0,3.31,3.31,-1.0,2305077.0,2305077.0,3.38,3.38,3.38
38.914,-122.88083329999999,1,3,5,2.84,2.84,2.84,111602.0,111602.0,111602.0,2.97,2.97,2.97
37.569,-118.824,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.218,-117.93066670000002,4,6,12,4.03,4.03,4.03,878.0,878.0,878.0,3.47,3.47,3.6
38.7898333,-122.79866670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.796833299999996,-121.527,0,0,3,0.0,0.0,2.78,-1.0,-1.0,2070524.0,0.0,0.0,3.31
40.6106667,-121.6735,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.79,2.79,2.79
40.3115,-124.49983329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.1644,-117.8623,3,3,3,2.9,2.9,2.9,195350.0,195350.0,195350.0,3.9,3.9,3.9
38.1492,-117.9648,15,15,21,3.7,3.7,3.7,1717905.0,1717905.0,1717905.0,4.4,4.4,4.4
38.5651,-118.2344,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
